Rótulos de Linha;Aeronautics;Alpine Skiing;Alpinism;Archery;Art Competitions;Athletics;Badminton;Baseball;Basketball;Basque Pelota;Beach Volleyball;Biathlon;Bobsleigh;Boxing;Canoeing;Cricket;Croquet;Cross Country Skiing;Curling;Cycling;Diving;Equestrianism;Fencing;Figure Skating;Football;Freestyle Skiing;Golf;Gymnastics;Handball;Hockey;Ice Hockey;Jeu De Paume;Judo;Lacrosse;Luge;Military Ski Patrol;Modern Pentathlon;Motorboating;Nordic Combined;Polo;Racquets;Rhythmic Gymnastics;Roque;Rowing;Rugby;Rugby Sevens;Sailing;Shooting;Short Track Speed Skating;Skeleton;Ski Jumping;Snowboarding;Softball;Speed Skating;Swimming;Synchronized Swimming;Table Tennis;Taekwondo;Tennis;Trampolining;Triathlon;Tug-Of-War;Volleyball;Water Polo;Weightlifting;Wrestling;Total Geral
43;;;1;4;5;;;;;;;;3;;1;;;1;5;1;;25;14;;;;;;;;1;;;;;;;;;2;;;;1;;;9;28;;;;;;;;;;;;;;;;;;;101
44;;;;18;4;;;;;;;;1;;;1;;;3;;;26;11;2;;;;1;;;;;;;;;;;;2;;;;3;;;23;20;;;;;;;;;;;1;;;;;;;;116
45;;;;2;9;;;;;;;;;;;;;;2;;;27;7;1;;;1;2;;;;;;;;;;;;;2;;;2;;;7;13;;;;;;;;;;;;;;;;;;;75
46;;;;1;2;;;;;;;;2;;;;;;2;;;25;4;;;;;;;;;;;;;;;1;;1;;;;2;;;15;22;;;;;;;1;;;;;;;;;;;;78
47;;;1;1;4;;;;;;;;;;;;;;1;;;17;;;;;;;;;;;;;;;;;;;;;;;;;14;16;;;;;;;;;;;;;;;;;;;54
48;;;;1;3;2;;;;;;;1;;;;;;1;;;13;4;;;;;;;;;;;;;;;;;3;;;;;;;11;13;;;;;;;;;;;;;;;;;;;52
49;;;3;;4;;;;;;;;2;;;;;;3;;;13;5;;;;;;;;;;;;;;;;;;;;;;;;9;10;;;;;;;;;;;;;;;;;;;49
50;;;;1;4;;;;;;;;;;;;;;1;;;9;2;;;;1;;;;;;;;;;;;;;;;;;;;8;7;;;;;;;;;;;;;;;;;;;33
51;;;;1;3;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;5;6;;;;;;;;;;;;;;;;;;;22
52;;;;;3;;;;;;;;;;;;;;1;;;13;1;;;;;;;;;;;;;;;;;;;;;1;;;7;9;;;;;;;;;;;;;;;;;;;35
53;;;;4;4;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;5;2;;;;;;;;;;;;;;;;;;;19
54;;;;7;1;;;;;;;;;;;;;;1;;;6;;;;;;;;;;;;;;;;;;;;;;;;;4;7;;;;;;;;;;;;;;;;;;;26
